"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-5394-ND","61200621621","CONN HEADER VERT 6POS 2.54MM","jat332","1","0","0.48000","0.48"
"2","1","300-6134-1-ND","HCM4916000000ABJT","CRYSTAL 16.0000MHZ 18PF SMD","jat332","1","0","0.44000","0.44"
"3","2","478-11911-1-ND","08055J220FBTTR","CAP THIN FILM 22PF 50V 0805","jat332","2","0","1.90000","3.80"
"4","1","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","jat332","1","0","0.13000","0.13"
"5","3","RMCF0805FT5K10CT-ND","RMCF0805FT5K10","RES 5.1K OHM 1% 1/8W 0805","jat332","3","0","0.10000","0.30"
"6","1","RR12P10.0KDCT-ND","RR1220P-103-D","RES SMD 10K OHM 0.5% 1/10W 0805","jat332","1","0","0.10000","0.10"
"7","1","RR12P1.0KDCT-ND","RR1220P-102-D","RES SMD 1K OHM 0.5% 1/10W 0805","jat332","1","0","0.10000","0.10"
"8","1","ATMEGA328-PU-ND","ATMEGA328-PU","IC MCU 8BIT 32KB FLASH 28DIP","jat332","1","0","2.63000","2.63"
"9","8","160-1142-ND","LTL-4231N","LED GREEN DIFFUSED T/H","jat332","8","0","0.15000","1.20"
"10","4","EG2041-ND","PS1057ABLK","SWITCH PUSH SPST-NO 1A 125V","jat332","4","0","1.76000","7.04"
"11","1","RA11131100-ND","RA11131100","SWITCH ROCKER SPST 10A 125V","jat332","1","0","0.64000","0.64"
"12","1","497-1443-5-ND","L7805CV","IC REG LINEAR 5V 1.5A TO220","jat332","1","0","0.50000","0.50"
"13","1","P687-ND","6LF22XWA/B","BATTERY ALKALINE 9V","jat332","1","0","2.32000","2.32"
"14","1","36-233-ND","233","BATT CONNECTOR SNAP 9V 6"" LEADS","jat332","1","0","0.58000","0.58"
"15","1","433-1150-ND","SP-3605","SPEAKER 8OHM 1W TOP PORT 90DB","jat332","1","0","3.62000","3.62"
"16","1","2084-SQF-MSDS1-256M-21E-ND","SQF-MSDS1-256M-21E","SQF MICRO SD C6 SLC 256M, 1CH (-","jat332","0","1","9.98000","9.98"
"17","1","2057-ICM-328-1-GT-HT-ND","ICM-328-1-GT-HT","MACHINE PIN SOCKET, IC, DIP, 28P","jat332","1","0","1.28000","1.28"
"18","1","72-T0051404699-ND","T0051404699","WSW SCN M1 SN0,6CU0,05NI3,5%","jat332","1","0","21.82000","21.82"
"19","1","K617-ND","R30G-0100","WIRE WW 30AWG PVDF GREEN 100'","jat332","1","0","24.86000","24.86"
"20","3","PEC11R-4220K-S0024-ND","PEC11R-4220K-S0024","ENCODER INCREM QUAD VERT PC PIN","jat332","3","0","2.27000","6.81"

