INDEX,PART,DESCRIPTION,NUMBER
1,2 pin connector,,51
2,4 pin connector,,3
3,3 pin connector,,3
4,6 pin connector,,3
5,10 kΩ resistor,SM: 0805,18
6,crystal,,3
7,DF Player,,3
8,Green DEBUG LED,SM,3
9,Voltage Regulator,7805,3
10,220 Ω resistor,,6
11,1 kΩ resistor,SM: 0805,9
12,9V Battery,,3
13,Battery connector,THROUGH HOLE,3
14,ON/OFF switch,THROUGH HOLE,3
15,SD Card,,3
16,5.1 kΩ resistor,SM: 0805,3
17,reset button,THROUGH HOLE,3
18,measure buttons,THROUGH HOLE,9
19,ATMEGA,SM,3
20,ROT ENC,THROUGH HOLE,9
21,LED (ON/OFF),THROUGH HOLE,3
22,LED qubits,THROUGH HOLE,18
23,Speaker,THROUGH HOLE,
24,22 pF Capacitors,SM 0805,6
25,0.1 uF Capacitor,SM 0805,3
26,Photodiode ,,3
27,LASER Pointer,,3
28,Sphere,,3
29,Controller Box,,3
